Easting,Northing,Elevation,Distance (m),origin,
407842.7971,1420170.36,27.32399396,87.00730896,Maptiler terrain provider,
407843.7948,1420170.297,27.30345319,88.00739288,Maptiler terrain provider,
407844.7925,1420170.233,27.28291242,89.00747681,Maptiler terrain provider,
407845.7901,1420170.169,27.26237165,90.00756073,Maptiler terrain provider,
407846.7878,1420170.106,27.24183088,91.00764465,Maptiler terrain provider,
407847.7855,1420170.042,27.22129011,92.00773621,Maptiler terrain provider,
407848.7832,1420169.978,27.20074934,93.00782013,Maptiler terrain provider,
407849.7809,1420169.915,27.18020857,94.00790405,Maptiler terrain provider,
407850.7786,1420169.851,27.1596678,95.00798798,Maptiler terrain provider,
407851.7763,1420169.787,27.13912703,96.0080719,Maptiler terrain provider,
407852.7739,1420169.724,27.11858626,97.00815582,Maptiler terrain provider,
407853.7716,1420169.66,27.0980455,98.00823975,Maptiler terrain provider,
407854.7693,1420169.596,27.07750473,99.00832367,Maptiler terrain provider,
407855.767,1420169.533,27.05696396,100.0084076,Maptiler terrain provider,
407856.7647,1420169.469,27.0364232,101.0084915,Maptiler terrain provider,
407857.7624,1420169.405,27.01588243,102.0085754,Maptiler terrain provider,
407858.7601,1420169.342,26.99534167,103.0086594,Maptiler terrain provider,
407859.7577,1420169.278,26.9748009,104.0087433,Maptiler terrain provider,
407860.7554,1420169.214,26.95426014,105.0088272,Maptiler terrain provider,
407861.7531,1420169.151,26.93371937,106.0089111,Maptiler terrain provider,
407862.7508,1420169.087,26.91317861,107.0089951,Maptiler terrain provider,
407863.7485,1420169.023,26.89263785,108.009079,Maptiler terrain provider,
407864.7462,1420168.96,26.87209708,109.0091629,Maptiler terrain provider,
407865.7439,1420168.896,26.85155632,110.0092468,Maptiler terrain provider,
407866.7415,1420168.832,26.83101556,111.0093307,Maptiler terrain provider,
407867.7392,1420168.769,26.8104748,112.0094147,Maptiler terrain provider,
407868.7369,1420168.705,26.78993404,113.0094986,Maptiler terrain provider,
407869.7346,1420168.641,26.76939328,114.0095825,Maptiler terrain provider,
407870.7323,1420168.578,26.74885252,115.0096664,Maptiler terrain provider,
407871.73,1420168.514,26.72831176,116.0097504,Maptiler terrain provider,
407872.7277,1420168.451,26.707771,117.0098343,Maptiler terrain provider,
407873.7253,1420168.387,26.68723024,118.0099182,Maptiler terrain provider,
407874.723,1420168.323,26.66668948,119.0100021,Maptiler terrain provider,
407875.7207,1420168.26,26.64614872,120.0100861,Maptiler terrain provider,
407876.7184,1420168.196,26.62560797,121.01017,Maptiler terrain provider,
407877.7161,1420168.132,26.60506721,122.0102539,Maptiler terrain provider,
407878.7138,1420168.069,26.58452645,123.0103378,Maptiler terrain provider,
407879.7115,1420168.005,26.5639857,124.0104218,Maptiler terrain provider,
407880.7091,1420167.941,26.54344494,125.0105057,Maptiler terrain provider,
407881.7068,1420167.878,26.52290419,126.0105896,Maptiler terrain provider,
407882.7045,1420167.814,26.50236343,127.0106735,Maptiler terrain provider,
407883.7022,1420167.75,26.48182268,128.0107574,Maptiler terrain provider,
407884.6999,1420167.687,26.46128192,129.010849,Maptiler terrain provider,
407885.6976,1420167.623,26.44074117,130.0109253,Maptiler terrain provider,
407886.6952,1420167.559,26.42020042,131.0110168,Maptiler terrain provider,
407887.6929,1420167.496,26.39965966,132.0110931,Maptiler terrain provider,
407888.6906,1420167.432,26.37911891,133.0111847,Maptiler terrain provider,
407889.6883,1420167.368,26.35857816,134.011261,Maptiler terrain provider,
407890.686,1420167.305,26.33803741,135.0113525,Maptiler terrain provider,
407891.6837,1420167.241,26.31749666,136.0114288,Maptiler terrain provider,
407892.6814,1420167.177,26.29695591,137.0115204,Maptiler terrain provider,
407893.679,1420167.114,26.27641516,138.0115967,Maptiler terrain provider,
407894.6767,1420167.05,26.25587441,139.0116882,Maptiler terrain provider,
407895.6744,1420166.986,26.23533366,140.0117645,Maptiler terrain provider,
407896.6721,1420166.923,26.21479291,141.0118561,Maptiler terrain provider,
407897.6698,1420166.859,26.19425216,142.0119324,Maptiler terrain provider,
407898.6675,1420166.795,26.17371141,143.0120239,Maptiler terrain provider,
407899.6652,1420166.732,26.15317066,144.0121002,Maptiler terrain provider,
407900.6628,1420166.668,26.13262992,145.0121918,Maptiler terrain provider,
407901.6605,1420166.604,26.11208917,146.0122681,Maptiler terrain provider,
407902.6582,1420166.541,26.09154842,147.0123596,Maptiler terrain provider,
407903.6559,1420166.477,26.07100768,148.0124359,Maptiler terrain provider,
407904.6536,1420166.413,26.05046693,149.0125275,Maptiler terrain provider,
407905.6513,1420166.35,26.02992619,150.0126038,Maptiler terrain provider,
407906.649,1420166.286,26.00938544,151.0126953,Maptiler terrain provider,
407907.6466,1420166.222,25.9888447,152.0127716,Maptiler terrain provider,
407908.6443,1420166.159,25.96830396,153.0128632,Maptiler terrain provider,
407909.642,1420166.095,25.94776321,154.0129395,Maptiler terrain provider,
407910.6397,1420166.031,25.92722247,155.013031,Maptiler terrain provider,
407911.6374,1420165.968,25.90668173,156.0131073,Maptiler terrain provider,
407912.6351,1420165.904,25.88614099,157.0131989,Maptiler terrain provider,
407913.6328,1420165.84,25.86560025,158.0132751,Maptiler terrain provider,
407914.6304,1420165.777,25.8450595,159.0133667,Maptiler terrain provider,
407915.6281,1420165.713,25.82451876,160.013443,Maptiler terrain provider,
407916.6258,1420165.649,25.80397802,161.0135345,Maptiler terrain provider,
407917.6235,1420165.586,25.78343728,162.0136108,Maptiler terrain provider,
407918.6212,1420165.522,25.76289655,163.0137024,Maptiler terrain provider,
407919.6189,1420165.458,25.74235581,164.0137787,Maptiler terrain provider,
407920.6166,1420165.395,25.72181507,165.0138702,Maptiler terrain provider,
407921.6142,1420165.331,25.70127433,166.0139465,Maptiler terrain provider,
407922.6119,1420165.267,25.68073359,167.0140381,Maptiler terrain provider,
407923.6096,1420165.204,25.66019286,168.0141144,Maptiler terrain provider,
407924.6073,1420165.14,25.63965212,169.0142059,Maptiler terrain provider,
407925.605,1420165.076,25.61911138,170.0142822,Maptiler terrain provider,
407926.6027,1420165.013,25.59857065,171.0143738,Maptiler terrain provider,
407927.6004,1420164.949,25.57802991,172.0144501,Maptiler terrain provider,
407928.598,1420164.885,25.55748918,173.0145416,Maptiler terrain provider,
407929.5957,1420164.822,25.53694844,174.0146179,Maptiler terrain provider,
407930.5934,1420164.758,25.51640771,175.0147095,Maptiler terrain provider,
407931.5911,1420164.694,25.49586697,176.0147858,Maptiler terrain provider,
407932.5888,1420164.631,25.47532624,177.0148773,Maptiler terrain provider,
407933.5865,1420164.567,25.45478551,178.0149536,Maptiler terrain provider,
407934.5842,1420164.503,25.43424478,179.0150452,Maptiler terrain provider,
407935.5818,1420164.44,25.41370404,180.0151215,Maptiler terrain provider,
407936.5795,1420164.376,25.39316331,181.015213,Maptiler terrain provider,
407937.5772,1420164.312,25.37262258,182.0152893,Maptiler terrain provider,
407938.5749,1420164.249,25.35208185,183.0153809,Maptiler terrain provider,
407939.5726,1420164.185,25.33154112,184.0154724,Maptiler terrain provider,
407940.5703,1420164.121,25.31100039,185.0155487,Maptiler terrain provider,
407941.568,1420164.058,25.29045966,186.0156403,Maptiler terrain provider,
407942.5656,1420163.994,25.26991893,187.0157166,Maptiler terrain provider,
407943.5633,1420163.93,25.24937821,188.0158081,Maptiler terrain provider,
407944.561,1420163.867,25.22883748,189.0158844,Maptiler terrain provider,
407945.5587,1420163.803,25.20829675,190.015976,Maptiler terrain provider,
407946.5564,1420163.739,25.18775602,191.0160522,Maptiler terrain provider,
407947.5541,1420163.676,25.1672153,192.0161438,Maptiler terrain provider,
407948.5517,1420163.612,25.14667457,193.0162201,Maptiler terrain provider,
407949.5494,1420163.548,25.12613384,194.0163116,Maptiler terrain provider,
407950.5471,1420163.485,25.10559312,195.0163879,Maptiler terrain provider,
407951.5448,1420163.421,25.08505239,196.0164795,Maptiler terrain provider,
407952.5425,1420163.357,25.06451167,197.0165558,Maptiler terrain provider,
407953.5402,1420163.294,25.04397095,198.0166473,Maptiler terrain provider,
407954.5379,1420163.23,25.02343022,199.0167236,Maptiler terrain provider,
407955.5355,1420163.166,25.0028895,200.0168152,Maptiler terrain provider,
407956.5332,1420163.103,24.98234878,201.0168915,Maptiler terrain provider,
407957.5309,1420163.039,24.96180805,202.016983,Maptiler terrain provider,
407958.5286,1420162.975,24.94126733,203.0170593,Maptiler terrain provider,
407959.5263,1420162.912,24.92072661,204.0171509,Maptiler terrain provider,
407960.524,1420162.848,24.90018589,205.0172272,Maptiler terrain provider,
407961.5217,1420162.785,24.87964517,206.0173187,Maptiler terrain provider,
407962.5193,1420162.721,24.85910445,207.017395,Maptiler terrain provider,
407963.517,1420162.657,24.83856373,208.0174866,Maptiler terrain provider,
407964.5147,1420162.594,24.81802301,209.0175629,Maptiler terrain provider,
407965.5124,1420162.53,24.79748229,210.0176544,Maptiler terrain provider,
407966.5101,1420162.466,24.77694157,211.0177307,Maptiler terrain provider,
407967.5078,1420162.403,24.75640085,212.0178223,Maptiler terrain provider,
407968.5055,1420162.339,24.73586014,213.0178986,Maptiler terrain provider,
407969.5031,1420162.275,24.71531942,214.0179901,Maptiler terrain provider,
407970.5008,1420162.212,24.6947787,215.0180664,Maptiler terrain provider,
407971.4985,1420162.148,24.67423799,216.018158,Maptiler terrain provider,
407972.4962,1420162.084,24.65369727,217.0182343,Maptiler terrain provider,
